code,value
000766.SZ,16.58
000767.SZ,67.36
000768.SZ,66.81
000776.SZ,70.86
000777.SZ,30.15
000778.SZ,51.18
000779.SZ,45.24
000780.SZ,62.76
000782.SZ,18.86
000783.SZ,57.28
000785.SZ,71.65
000786.SZ,69.41
000788.SZ,46.04
000789.SZ,53.7
000790.SZ,18.36
000791.SZ,63.47
000792.SZ,58.35
000793.SZ,35.79
000795.SZ,53.53
000796.SZ,69.05
000797.SZ,56.01
000798.SZ,64.62
000799.SZ,38.47
000800.SZ,58.04
000801.SZ,56.29
000802.SZ,54.96
000803.SZ,70.14
000806.SZ,16.67
000807.SZ,51.4
000809.SZ,39.28
000810.SZ,65.35
000811.SZ,50.23
000812.SZ,27.02
000813.SZ,74.65
000815.SZ,57.17
000816.SZ,22.45
000818.SZ,33.69
000819.SZ,39.13
000820.SZ,5.8
000821.SZ,37.26
000822.SZ,43.59
000823.SZ,44.36
000825.SZ,68.54
000826.SZ,52.6
000828.SZ,71.08
000829.SZ,51.23
000830.SZ,40.58
000831.SZ,45.4
000833.SZ,21.05
000835.SZ,28.1
000836.SZ,24.9
000837.SZ,24.65
000838.SZ,50.55
000839.SZ,38.78
000848.SZ,61.09
000850.SZ,49.11
000851.SZ,14.84
000852.SZ,63.12
000856.SZ,30.88
000858.SZ,78.05
000859.SZ,28.45
000860.SZ,68.58
000861.SZ,48.43
000862.SZ,16.39
000863.SZ,31.01
000868.SZ,37.56
000869.SZ,82.17
000875.SZ,28.98
000876.SZ,71.12
000877.SZ,50.89
000878.SZ,57.71
000880.SZ,8.92
000881.SZ,26.04
000882.SZ,42.67
000883.SZ,86.59
000885.SZ,68.52
000886.SZ,26.6
000887.SZ,58.58
000888.SZ,57.59
000889.SZ,66.19
000890.SZ,39.32
000892.SZ,35.48
000893.SZ,41.75
000895.SZ,44.77
000897.SZ,34.54
000898.SZ,84.04
000899.SZ,73.68
000900.SZ,45.29
000901.SZ,38.73
000902.SZ,62.83
000903.SZ,37.52
000905.SZ,55.53
000906.SZ,59.98
000908.SZ,20.97
000909.SZ,46.46
000910.SZ,63.99
000911.SZ,42.2
000912.SZ,66.71
000913.SZ,50.71
000915.SZ,38
000917.SZ,21.98
000918.SZ,69.02
000919.SZ,58.72
000920.SZ,45.48
000921.SZ,78.9
000922.SZ,43.06
000923.SZ,68.99
000925.SZ,32.7
000926.SZ,31.12
000927.SZ,67.7
000928.SZ,41.21
000929.SZ,34.9
000930.SZ,23.82
000931.SZ,39.69
000932.SZ,69.37
000933.SZ,49.77
000935.SZ,69.7
000936.SZ,41.7
000937.SZ,69.23
000938.SZ,80.33
000939.SZ,55.3
000948.SZ,39.33
000949.SZ,54.34
000950.SZ,65.3
000951.SZ,84.34
000952.SZ,24.48
000953.SZ,42.77
000955.SZ,23.35
000957.SZ,41.93
000958.SZ,39.63
000959.SZ,88.08
000960.SZ,54.85
000961.SZ,82.2
000962.SZ,48.74
000963.SZ,69.29
000965.SZ,54.29
000966.SZ,56.9
000967.SZ,54.73
000968.SZ,63.57
000969.SZ,41.88
000970.SZ,38.36
000971.SZ,24.61
000972.SZ,46.25
000973.SZ,28.02
000975.SZ,35.06
000976.SZ,56.31
000977.SZ,56.88
000978.SZ,38.06
000980.SZ,42.94
000981.SZ,37.06
000982.SZ,57.89
000983.SZ,65.93
000985.SZ,67.04
000987.SZ,87.05
000988.SZ,43.88
000989.SZ,34.75
000990.SZ,73.05
000993.SZ,53.58
000995.SZ,39.49
000996.SZ,19.5
000997.SZ,44.82
000998.SZ,39.31
000999.SZ,88.74
001696.SZ,25.57
001872.SZ,80.74
001896.SZ,56.91
001914.SZ,69.03
001965.SZ,67.16
001979.SZ,84.87
002001.SZ,65.98
002002.SZ,57.72
002003.SZ,45.81
002004.SZ,24.44
002005.SZ,44.59
002006.SZ,33.28
002007.SZ,62.53
002008.SZ,50.44
002009.SZ,14.6
002010.SZ,74.31
002011.SZ,48.08
002012.SZ,22.43
002013.SZ,72.44
002014.SZ,72.43
002015.SZ,22.04
002016.SZ,2.57
002017.SZ,45.95
002019.SZ,15.47
002020.SZ,21.22
002021.SZ,39.27
002022.SZ,28.96
002023.SZ,6.56
002024.SZ,57.7
002025.SZ,64.88
002026.SZ,41.77
002027.SZ,57.48
002028.SZ,34.74
002029.SZ,50.7
002030.SZ,43.59
002031.SZ,0.59
002032.SZ,94.31
002033.SZ,48.58
002034.SZ,26.25
002035.SZ,50.1
002036.SZ,39.66
002037.SZ,39.91
002038.SZ,32.07
002039.SZ,43.54
002040.SZ,62.22
002041.SZ,61.48
002042.SZ,66.22
002043.SZ,47.41
002044.SZ,61.02
002045.SZ,36.79
002046.SZ,51.97
002047.SZ,24.3
002048.SZ,42.38
002049.SZ,45.57
002050.SZ,75.42
002051.SZ,64.41
002052.SZ,12.77
002053.SZ,60.63
002054.SZ,25.36
002055.SZ,32.59
002056.SZ,62.42
002057.SZ,33.06
002058.SZ,47.71
002059.SZ,62.97
002060.SZ,38.2
002061.SZ,23.91
002062.SZ,50.05
002063.SZ,26.98
002064.SZ,43.02
002065.SZ,51.7
002066.SZ,43.22
002067.SZ,0.73
002068.SZ,48.19
002069.SZ,56.87
002071.SZ,44.6
002072.SZ,16.06
002073.SZ,15.2
002074.SZ,40.57
002075.SZ,30.76
002076.SZ,2.03
002077.SZ,56.66
002078.SZ,71.91
002079.SZ,39.53
002080.SZ,78.55
002081.SZ,63.43
002082.SZ,24.85
002083.SZ,38.45
002084.SZ,57.61
002085.SZ,73.67
002086.SZ,26.9
002087.SZ,30.83
002088.SZ,47.18
002089.SZ,6.32
002090.SZ,44.39
002091.SZ,50.37
002092.SZ,47.39
002093.SZ,10.76
